YYYY,MM,DD,HH,WSPD,BAR,ATMP,WTMP,Timestamp (Days),Timestamp (Hours)
2005,1,5,0,3.3,1024,19.1,20.3,4,96
2005,1,5,1,2.7,1024.2,19.2,20.3,4.041666667,97
2005,1,5,2,2.2,1024.2,19.1,20.3,4.083333333,98
2005,1,5,3,3.3,1023.7,19.1,20.3,4.125,99
2005,1,5,4,3.6,1023.6,19,19.9,4.166666667,100
2005,1,5,5,3.9,1023,19.2,19.8,4.208333333,101
2005,1,5,6,3.8,1022.5,19.3,19.8,4.25,102
2005,1,5,7,3,1022.1,19.4,19.8,4.291666667,103
2005,1,5,8,5.6,1022,18.9,19.8,4.333333333,104
2005,1,5,9,4.2,1021.2,19.1,19.8,4.375,105
2005,1,5,10,3.7,1021.2,19.1,19.8,4.416666667,106
2005,1,5,11,3.4,1021.2,19.2,19.8,4.458333333,107
2005,1,5,12,4.3,1021.2,19.6,19.8,4.5,108
2005,1,5,13,5.7,1021.9,19.8,19.8,4.541666667,109
2005,1,5,14,5.8,1021.9,19.9,19.8,4.583333333,110
2005,1,5,15,6.1,1022,20.2,19.8,4.625,111
2005,1,5,16,6.6,1021.9,20.3,19.8,4.666666667,112
2005,1,5,21,2.3,1019.5,20.7,20.3,4.875,117
2005,1,5,22,2.5,1019.5,20.6,20.3,4.916666667,118
2005,1,5,23,3.3,1019.5,20.3,20.4,4.958333333,119
2005,1,6,0,3.5,1019,20,20.4,5,120
2005,1,6,1,3.8,1018.9,19.9,20.4,5.041666667,121
2005,1,6,2,4.1,1018.8,19.9,20.4,5.083333333,122
2005,1,6,3,4.3,1018.8,19.9,20.3,5.125,123
2005,1,6,4,4.9,1018.1,20,20.3,5.166666667,124
2005,1,6,5,5.5,1018,20.1,20.3,5.208333333,125
2005,1,6,6,5,1017.5,20.3,19.9,5.25,126
2005,1,6,7,3.8,1017.9,20,19.9,5.291666667,127
2005,1,6,8,3.7,1017.4,19.9,19.9,5.333333333,128
2005,1,6,9,3.7,1017.4,20.1,19.9,5.375,129
2005,1,6,10,3.9,1017.4,20.1,19.9,5.416666667,130
2005,1,6,11,3,1017.8,20.1,19.9,5.458333333,131
2005,1,6,12,1.6,1018.1,19.9,19.9,5.5,132
2005,1,6,13,2.1,1019,19.9,19.8,5.541666667,133
2005,1,6,14,3.3,1019,20.4,19.8,5.583333333,134
2005,1,6,15,4,1019.1,20.6,19.9,5.625,135
2005,1,6,16,3.7,1019.6,20.6,19.9,5.666666667,136
2005,1,6,17,5.2,1018.9,20.4,19.9,5.708333333,137
2005,1,6,18,5.3,1018.1,20.6,19.9,5.75,138
2005,1,6,19,5,1017.4,20.7,20.3,5.791666667,139
2005,1,6,20,4.6,1017.2,20.9,20.3,5.833333333,140
2005,1,6,21,4.2,1017.2,21.1,20.3,5.875,141
2005,1,6,22,4.1,1017.3,21.1,20.3,5.916666667,142
2005,1,6,23,3.6,1017.4,20.6,20.3,5.958333333,143
2005,1,7,0,2.7,1017.9,20.6,20.3,6,144
2005,1,7,1,2.7,1018.1,20.6,20.3,6.041666667,145
2005,1,7,2,3.2,1018.2,20.6,20.2,6.083333333,146
2005,1,7,3,3.4,1018.8,20.4,19.9,6.125,147
2005,1,7,4,3.7,1018.8,20.4,19.9,6.166666667,148
2005,1,7,5,4.2,1018.8,20.4,19.9,6.208333333,149
2005,1,7,6,4.1,1018.7,20.4,19.9,6.25,150
2005,1,7,7,4.1,1018.4,20.4,19.9,6.291666667,151
